perturbation,agent,steps_mean,steps_std,steps_count,survived_mean,survived_std,survived_count,energy_final_mean,energy_final_std,energy_final_count,resources_collected_mean,resources_collected_std,resources_collected_count,hazards_hit_mean,hazards_hit_std,hazards_hit_count,calibrations_mean,calibrations_std,calibrations_count,viability_mean,viability_std,viability_count,contradiction_load_mean,contradiction_load_std,contradiction_load_count,reliability_mean_mean,reliability_mean_std,reliability_mean_count,reliability_min_mean,reliability_min_std,reliability_min_count
control,A_predictor_only,144.11,24.93411854384527,300,0.9466666666666667,0.22507276167731283,300,57.03333333333333,19.543251635894727,300,8.71,0.8255331711823618,300,4.54,2.6542828393568665,300,0.0,0.0,300,269.4066666666667,57.06628668319195,300,0.0,0.0,300,1.0,0.0,300,1.0,0.0,300
control,B_memory,145.24333333333334,22.49602244044546,300,0.9566666666666667,0.20394656873443764,300,57.126666666666665,18.7824356385768,300,8.59,1.1689545968506767,300,4.476666666666667,2.4879889843357703,300,0.0,0.0,300,270.1716666666667,53.89593540704366,300,0.0,0.0,300,1.0,0.0,300,1.0,0.0,300
control,C_self_model_no_reliability,143.34333333333333,26.46974904055171,300,0.94,0.2378836454288982,300,55.526666666666664,20.79046496997557,300,8.51,1.3072604047726253,300,4.733333333333333,2.8931164219561234,300,0.0,0.0,300,263.79,62.42291286192292,300,0.0,0.0,300,1.0,0.0,300,1.0,0.0,300
control,D_mirror_reliability,146.05,21.372649198900547,300,0.9666666666666667,0.17980541941701306,300,60.33,15.6288826614108,300,8.77,0.959253472279495,300,4.3966666666666665,2.6424605100890637,300,0.0,0.0,300,275.1691666666667,52.61807401787013,300,0.160837,0.15921764094563867,300,0.9998260000000001,0.00017765849770278976,300,0.9855119999999999,0.01113703286352988,300
false_energy,A_predictor_only,144.02,25.3066728810346,300,0.9466666666666667,0.22507276167731272,300,61.31666666666667,15.574925894235438,300,8.86,0.7179495142534199,300,4.276666666666666,1.8379469666986792,300,0.0,0.0,300,274.56666666666666,54.64872367114508,300,0.0,0.0,300,1.0,0.0,300,1.0,0.0,300
false_energy,B_memory,144.07,25.99276526562432,300,0.95,0.21830909938949905,300,61.54333333333334,15.114992520182495,300,8.833333333333334,0.8333890728292876,300,4.483333333333333,1.9031013824268204,300,0.0,0.0,300,272.6575,55.96672807052179,300,0.0,0.0,300,1.0,0.0,300,1.0,0.0,300
false_energy,C_self_model_no_reliability,141.46666666666667,29.71045707751293,300,0.9233333333333333,0.26650636207348044,300,59.56666666666667,18.428172654394036,300,8.793333333333333,0.7996375990754017,300,4.6033333333333335,2.149742666926028,300,0.0,0.0,300,266.68416666666667,62.71977445749374,300,0.0,0.0,300,1.0,0.0,300,1.0,0.0,300
false_energy,D_mirror_reliability,143.14,26.50324142477797,300,0.9366666666666666,0.2439684903901178,300,60.473333333333336,17.05634834752335,300,8.826666666666666,0.7562154199875715,300,4.466666666666667,2.0500972051892177,300,0.0,0.0,300,270.87833333333333,58.83116848383005,300,0.19556066666666666,0.2810057657549289,300,0.9996906666666666,0.0007060982969142777,300,0.9796383333333334,0.03423242654725584,300
false_location,A_predictor_only,79.92333333333333,26.555251712872206,300,0.07666666666666666,0.26650636207348044,300,1.5833333333333333,14.516616780943531,300,7.98,1.1448298788488258,300,4.58,2.155400776737636,300,0.0,0.0,300,139.16166666666666,55.51253765301865,300,0.0,0.0,300,1.0,0.0,300,1.0,0.0,300
false_location,B_memory,78.04333333333334,26.8106476044897,300,0.07,0.2555733275451653,300,1.1333333333333333,14.53040482701746,300,7.983333333333333,1.0262714060545448,300,4.823333333333333,2.086456299211004,300,0.0,0.0,300,134.76166666666666,54.88066893998187,300,0.0,0.0,300,1.0,0.0,300,1.0,0.0,300
false_location,C_self_model_no_reliability,75.90666666666667,26.767010761493506,300,0.06333333333333334,0.24396849039011778,300,0.49666666666666665,13.162096775488061,300,7.876666666666667,1.1572610188608288,300,4.803333333333334,1.9877523538634918,300,0.0,0.0,300,131.06166666666667,54.299929912636884,300,0.0,0.0,300,1.0,0.0,300,1.0,0.0,300
false_location,D_mirror_reliability,121.5,38.86392520415619,300,0.63,0.4836109993188817,300,39.782000000000004,32.61858339365299,300,8.626666666666667,0.7805894922473094,300,4.45,2.1438642322110426,300,2.0033333333333334,1.4595970794492155,300,223.62016666666668,81.90173011782596,300,146.03149933333333,109.60896943704796,300,0.7232763333333333,0.19227795865492203,300,0.24328433333333332,0.307279277371953,300
memory_corruption,A_predictor_only,142.50666666666666,28.23758416402313,300,0.9333333333333333,0.24986060773937238,300,56.72666666666667,20.257174844099985,300,8.673333333333334,1.03772755761568,300,4.69,2.738411276830095,300,0.0,0.0,300,265.27166666666665,64.34001792750703,300,0.0,0.0,300,1.0,0.0,300,1.0,0.0,300
memory_corruption,B_memory,145.06666666666666,22.582044149029514,300,0.9533333333333334,0.211276314714689,300,58.28666666666667,18.498246022490456,300,8.76,0.827455300452835,300,4.76,2.802722040467159,300,0.0,0.0,300,269.6433333333333,54.694750736085226,300,0.0,0.0,300,1.0,0.0,300,1.0,0.0,300
memory_corruption,C_self_model_no_reliability,143.60666666666665,26.017333215526044,300,0.94,0.23788364542889825,300,57.38333333333333,19.60418669593102,300,8.666666666666666,1.0611199149019683,300,4.48,2.6164388982663453,300,0.0,0.0,300,268.68583333333333,60.45671569434929,300,0.0,0.0,300,1.0,0.0,300,1.0,0.0,300
memory_corruption,D_mirror_reliability,147.50666666666666,16.19374612623317,300,0.9766666666666667,0.15121212222763153,300,60.53333333333333,14.971395989747526,300,8.77,0.9201025099207925,300,4.493333333333333,2.697073024326691,300,0.0,0.0,300,276.3066666666667,45.51039194299371,300,0.4344483333333333,0.5705165942473489,300,0.9991789999999999,0.0015654694659524464,300,0.9553590000000001,0.061073940758717464,300
sensor_degradation,A_predictor_only,133.26666666666668,36.68717375253534,300,0.8233333333333334,0.3820235974197239,300,50.48,26.8791971133476,300,8.663333333333334,0.8558214319003049,300,5.43,2.3359413677527514,300,0.0,0.0,300,242.2775,78.43643892938461,300,0.0,0.0,300,1.0,0.0,300,1.0,0.0,300
sensor_degradation,B_memory,129.91333333333333,39.727236668730605,300,0.79,0.4079887859958013,300,47.43,28.64775873026647,300,8.52,1.0925102266421702,300,5.266666666666667,2.3722663667059476,300,0.0,0.0,300,236.29583333333332,84.12760170638676,300,0.0,0.0,300,1.0,0.0,300,1.0,0.0,300
sensor_degradation,C_self_model_no_reliability,129.82333333333332,39.584448344326304,300,0.7866666666666666,0.4103455867405102,300,45.89666666666667,29.243173554764354,300,8.466666666666667,1.2385484365394854,300,5.67,2.5852229935580806,300,0.0,0.0,300,231.40416666666667,86.10060970133735,300,0.0,0.0,300,1.0,0.0,300,1.0,0.0,300
sensor_degradation,D_mirror_reliability,115.63,43.89131948827019,300,0.6,0.4907164920657183,300,36.64333333333333,33.85953063671564,300,8.623333333333333,0.9188415468310253,300,5.203333333333333,2.4127564182905474,300,1.9466666666666668,1.1868097066596768,300,208.93233333333333,94.38698833231038,300,54.945034666666665,26.537201232180752,300,0.7142466666666667,0.10005432348336879,300,0.083026,0.15366304575086176,300
