condition,agent,final_viability_mean,final_viability_sd,success_rate,identity_continuity,self_error,contamination,false_identity_adoption,goal_drift_rate,audit_count,repair_count,rejected_claims
control,mirror_commit_gate,216.995,7.092283116033915,0.8755,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.27
control,naive_memory,150.85783720077964,38.59744953702735,0.7801666666666667,0.9493333333333334,0.3065,0.07566622263062948,0.07150000000000001,0.051500000000000004,0.0,0.0,0.0
control,recursive_mirror,215.9225,7.012047262974048,0.8713333333333334,1.0,0.0,0.0,0.0,0.0,0.8,0.0,10.29
control,self_model_memory,126.34286148472538,70.81189335944539,0.7431666666666666,0.9229444444444446,0.4181666666666667,0.04182090411225011,0.10283333333333333,0.09766666666666668,0.0,0.0,10.84
control,stateless_language,191.38576721556183,20.100618909588167,0.831,0.9799444444444444,0.11316666666666667,0.0740846714926728,0.021833333333333337,0.02383333333333333,0.0,0.0,0.0
corrupted_summary,mirror_commit_gate,209.15,11.943786686141062,0.8301666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,105.8
corrupted_summary,naive_memory,-79.79532568265438,0.5470327531545893,0.17516666666666666,0.5253333333333334,2.2265,0.5019330196600034,0.5333333333333333,0.5953333333333333,0.0,0.0,0.0
corrupted_summary,recursive_mirror,158.0625,18.873227222922974,0.8371666666666667,1.0,0.0,0.0,0.0,0.0,33.39,0.0,148.72
corrupted_summary,self_model_memory,-79.97789997093868,0.12702312312873468,0.11533333333333333,0.43183333333333335,2.6565,0.5368268174435252,0.6881666666666666,0.7531666666666667,0.0,0.0,62.78
corrupted_summary,stateless_language,-79.48417171618898,0.9480935900129517,0.37166666666666665,0.7105,1.3146666666666667,0.5036753948996638,0.3313333333333333,0.3963333333333333,0.0,0.0,0.0
fake_tool_output,mirror_commit_gate,208.31,11.755458650380598,0.8253333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.65
fake_tool_output,naive_memory,-68.16686568958201,27.28714447867636,0.445,0.8257777777777778,1.2246666666666668,0.3090527934510984,0.1991666666666667,0.233,0.0,0.0,0.0
fake_tool_output,recursive_mirror,196.6825,17.48945768314458,0.8345,1.0,0.0,0.0,0.0,0.0,14.39,0.0,62.7
fake_tool_output,self_model_memory,-74.89194414009839,15.776573719095001,0.34299999999999997,0.7372777777777777,1.6741666666666666,0.27081161623344824,0.3238333333333333,0.377,0.0,0.0,41.6
fake_tool_output,stateless_language,16.86192827184849,31.194279545673457,0.6013333333333333,0.9172777777777777,0.6551666666666667,0.31744141253548497,0.08983333333333332,0.11683333333333333,0.0,0.0,0.0
false_memory,mirror_commit_gate,214.49,8.557582732420535,0.8538333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.33
false_memory,naive_memory,-79.12469612205696,2.3939408016480996,0.31266666666666665,0.6403333333333333,1.6568333333333334,0.37120921716693267,0.39416666666666667,0.4186666666666667,0.0,0.0,0.0
false_memory,recursive_mirror,196.955,18.332278895296938,0.8508333333333333,1.0,0.0,0.0,0.0,0.0,19.01,0.0,90.01
false_memory,self_model_memory,-69.57902886636435,26.978361865350674,0.3803333333333333,0.6740555555555555,1.527,0.24084457138418144,0.37333333333333335,0.42700000000000005,0.0,0.0,56.84
false_memory,stateless_language,-35.422289077928056,36.89598180242865,0.5513333333333333,0.8242777777777778,0.8073333333333333,0.3711086886607803,0.1978333333333333,0.2075,0.0,0.0,0.0
goal_drift,mirror_commit_gate,211.15,12.513326229797304,0.8433333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.02
goal_drift,naive_memory,-79.6097850789625,1.1017238862461491,0.2495,0.5605555555555557,1.7371666666666667,0.4082906062815565,0.30483333333333335,0.5648333333333333,0.0,0.0,0.0
goal_drift,recursive_mirror,185.545,16.178938641195092,0.8425,1.0,0.0,0.0,0.0,0.0,21.96,0.0,100.08
goal_drift,self_model_memory,-79.80946827185333,0.7188586624310214,0.19483333333333333,0.4885,2.0948333333333333,0.36526984171841986,0.402,0.6961666666666666,0.0,0.0,56.09
goal_drift,stateless_language,-74.66413824833386,10.872775731987177,0.4605,0.7509444444444445,0.9368333333333334,0.4074958987296342,0.14083333333333334,0.37133333333333335,0.0,0.0,0.0
high_audit_cost,mirror_commit_gate,202.05,17.548561770185618,0.8063333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,156.47
high_audit_cost,naive_memory,-79.9888732631237,0.07594716058843082,0.099,0.36894444444444446,2.7583333333333333,0.5985506250917412,0.65,0.682,0.0,0.0,0.0
high_audit_cost,recursive_mirror,-28.66,27.273852502039936,0.7978333333333333,1.0,0.0,0.0,0.0,0.0,46.01,0.0,204.66
high_audit_cost,self_model_memory,-80.0,0.0,0.0575,0.26511111111111113,3.2463333333333333,0.6544108342447699,0.784,0.8248333333333333,0.0,0.0,84.43
high_audit_cost,stateless_language,-79.76396082295042,0.5955711227198167,0.24866666666666667,0.5610555555555556,1.7991666666666666,0.5981870984491685,0.45333333333333337,0.49700000000000005,0.0,0.0,0.0
identity_injection,mirror_commit_gate,210.365,12.95014819930021,0.8378333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.98
identity_injection,naive_memory,-79.32288045095586,1.7131170286072244,0.32583333333333336,0.6302777777777778,1.5628333333333333,0.37824690557242874,0.5398333333333334,0.3705,0.0,0.0,0.0
identity_injection,recursive_mirror,189.775,19.13526742943405,0.8431666666666666,1.0,0.0,0.0,0.0,0.0,19.23,0.0,89.55
identity_injection,self_model_memory,-78.84844996367093,6.824252813506457,0.25316666666666665,0.5660000000000001,1.8705,0.33613086365336237,0.6241666666666666,0.502,0.0,0.0,50.49
identity_injection,stateless_language,-49.47976128531458,27.273184919679707,0.5258333333333334,0.791,0.8343333333333334,0.3816147867089436,0.3453333333333333,0.191,0.0,0.0,0.0
mixed_attack,mirror_commit_gate,201.07,16.30858050168064,0.8059999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,178.5
mixed_attack,naive_memory,-79.9254217335667,0.44177980782973575,0.0805,0.3506666666666667,2.915,0.6235499816566296,0.674,0.6998333333333333,0.0,0.0,0.0
mixed_attack,recursive_mirror,88.8925,19.056543157698147,0.7955,1.0,0.0,0.0,0.0,0.0,49.49,0.0,224.53
mixed_attack,self_model_memory,-80.0,0.0,0.050333333333333334,0.24133333333333337,3.407833333333333,0.6877198658152124,0.8156666666666667,0.8284999999999999,0.0,0.0,94.68
mixed_attack,stateless_language,-79.84819449116237,0.5120282547223595,0.21433333333333335,0.5252222222222223,1.9768333333333334,0.6289267281250498,0.4935,0.5468333333333334,0.0,0.0,0.0
